Guys northem chile really needs a support message #PrayForChile	N G ^ R V D N N #	Guys northem chile really needs a support message #PrayForChile
" I'm glad the earthquake happened I'm Chile because I don't live there so I don't care for them . " -the kid next to me in psychology 🔫🔫	, L A D N V L ^ P O V V R P O V V P O , , D N P P O P N G	"I'm glad the earthquake happened I'm Chile because I don't live there so I don't care for them." -the kid next to me in psychology 🔫🔫
RT @MzFrema1 : “ @WeLiftYourName : #PrayForChile http://t.co/JrjqPzxajO”😳	~ @ ~ , @ ~ # U	RT @MzFrema1: “@WeLiftYourName: #PrayForChile http://t.co/JrjqPzxajO”😳
RT @ChristineRomans : Good morning . Getting an #EarlyStart on the Chile #earthquake , criminal probe into #MH370 , GM recall , #Obamacare numbe …	~ @ ~ A N , V D ^ P D ^ ^ , A N P ^ , ^ V , # G G	RT @ChristineRomans: Good morning. Getting an #EarlyStart on the Chile #earthquake, criminal probe into #MH370, GM recall, #Obamacare numbe…
#发生地震 : M 5.0 OFFSHORE TARAPACA , CHILE http://t.co/p4m1CPVQAZ	# , ^ $ A N , ^ U	#发生地震: M  5.0  OFFSHORE TARAPACA, CHILE http://t.co/p4m1CPVQAZ
RT @zerohedge : CHILE EMERGENCY OFFICE ORDERS EVACUATION OF NORTHERN COAST , ISSUES ‘ MINOR ’ TSUNAMI ALERT AFTER 7.4 MAGNITUDE QUAKE	~ @ ~ ^ N N N N P ^ N , N , A , N N P $ N N	RT @zerohedge: CHILE EMERGENCY OFFICE ORDERS EVACUATION OF NORTHERN COAST, ISSUES ‘MINOR’ TSUNAMI ALERT AFTER 7.4 MAGNITUDE QUAKE
RT @PzFeed : RIGHT NOW : Thousands of people urged evacuate inland from coastal areas in Chile after Strong earthquake .	~ @ ~ R R , N P N V V ^ P A N P ^ P A N ,	RT @PzFeed: RIGHT NOW: Thousands of people urged evacuate inland from coastal areas in Chile after Strong earthquake.
they said bali will face a big wave . its effect from chile earthquake . well , maybe this is my last word :D #PrayForChile	O V ^ V V D A N , L N P ^ N , ! , R O V D A N E #	they said bali will face a big wave. its effect from chile earthquake. well, maybe this is my last word :D #PrayForChile
so many sad things happening . #PrayForMH370 #PrayForSouthKorea #PrayForIndonesia #PrayForSinabung #PrayForNigeria #PrayForChile	R A A N V , # # # # # #	so many sad things happening. #PrayForMH370 #PrayForSouthKorea #PrayForIndonesia #PrayForSinabung #PrayForNigeria #PrayForChile
I don't understand why people rely on ' hocus pocus ' instead of helping someone . makes no sense to me . @SkyrimLord #ChileEarthquake	O V V R N V P , ^ ^ , R P V N , V D N P O , @ #	I don't understand why people rely on 'hocus pocus' instead of helping someone. makes no sense to me. @SkyrimLord #ChileEarthquake
@mydarlingdrew que suertuda eres , te sigue Justin y Jazzy fghjk <3	@ G G N , ^ ^ ^ R ^ ^ E	@mydarlingdrew que suertuda eres, te sigue Justin y Jazzy fghjk&lt;3
☭ @MexicAnarchist Footage of the latest 7.8 earthquake that just hit Chile from inside a shopping mall . . https://t.co/ZLMS4yrSdM …	~ @ N P D A $ N P R V ^ P P D N N , , U ,	☭ @MexicAnarchist  Footage of the latest 7.8 earthquake that just hit Chile from inside a shopping mall. . https://t.co/ZLMS4yrSdM …
Dont worry . Everything its gonna be alright	V V , N L V V R	Dont worry. Everything its gonna be alright
RT @hummeryk : Chile Rocked Again by Powerful Earthquake : A powerful earthquake struck off northern Chile late Wednesday , the ... http://t.co …	~ @ ~ ^ V R P A N , D A N V T A ^ A ^ , D ~ U ,	RT @hummeryk: Chile Rocked Again by Powerful Earthquake: A powerful earthquake struck off northern Chile late Wednesday, the... http://t.co…
White House : U.S. ' stands ready to help ' Chile after earthquake : The U.S. government is prepared to ... http://t.co/b5lV4fUtlI #airforce	A N , ^ , V A P V , ^ P N , D ^ N V A P ~ U #	White House: U.S. 'stands ready to help' Chile after earthquake: The U.S. government is prepared to ... http://t.co/b5lV4fUtlI #airforce
The #tsunami is currently going furiously through Peruvian beaches ( Tacna and Lima ) ... Stay strong and safe Peru and Chile !	D N V R V R P A N , ^ & ^ , , V A & A ^ & ^ ,	The #tsunami is currently going furiously through Peruvian beaches (Tacna and Lima)... Stay strong and safe Peru and Chile !
#Free #iOS #Apps : Florida USA Cape Coral BREAKING NEWS 273 Chile earthquake Powerful earthquake strikes off Chi ... http://t.co/xvQ4KRwqo9	# # # , ^ ^ ^ ^ ^ ^ $ ^ N A N V T ^ ~ U	#Free#iOS#Apps: Florida USA Cape Coral BREAKING NEWS 273 Chile earthquake Powerful earthquake strikes off Chi... http://t.co/xvQ4KRwqo9
RT @neonne : turned on @CNN to get updates on the Chile quake and tsunami , and I find Wolf still yapping non-news about a plane #gtfo	~ @ ~ V P @ P V N P D ^ N & N , & O V ^ R V ^ P D N #	RT @neonne: turned on @CNN to get updates on the Chile quake and tsunami, and I find Wolf still yapping non-news about a plane #gtfo
@pattiemallette happy birthday mom i love u so much thank u for everything ♥	@ A N N O V O R A V O P N E	@pattiemallette happy birthday mom i love u so much thank u for everything ♥
@AMHQ AHeadlines for your 8AM hour , #ChileEarthquake aftershocks and Olympians at the White House .	@ ^ P D $ N , ^ N & ^ P D ^ ^ ,	@AMHQ AHeadlines for your 8AM hour, #ChileEarthquake aftershocks and Olympians at the White House.
We are the world We are the children We are the ones who make a brighter day So let's start giving #PrayForChile	O V D N O V D N O V D N O V D A N P L V V #	We are the world We are the children We are the ones who make a brighter day So let's start giving #PrayForChile
RT @nbcwashington : More than 300 female prisoners took advantage of the massive earthquake that hit Chile and escaped : http://t.co/A4i1s0DV …	~ @ ~ A P $ A N V N P D A N P V ^ & V , U ,	RT @nbcwashington: More than 300 female prisoners took advantage of the massive earthquake that hit Chile and escaped: http://t.co/A4i1s0DV…
@HolySnailGrail seems you didn't miss me :(	@ V O V V O E	@HolySnailGrail seems you didn't miss me :(
A Little Respect > https://t.co/8MFS6iDs9F	D A N G U	A Little Respect &gt; https://t.co/8MFS6iDs9F
RT @SPACEdotcom : The massive earthquake that struck Chile on Tuesday left 3 main sky observatories in the region relatively untouched http : …	~ @ ~ D A N P V ^ P ^ A $ A N V P D N R A N ~ E	RT @SPACEdotcom: The massive earthquake that struck Chile on Tuesday left 3 main sky observatories in the region relatively untouched http:…
def better than that Chile earthquake . Ready 4 Pulag ? RT “ @heyitsrjsmith : Climbed a glacier yesterday and I still can't believe it . #travel ”	R A P O ^ N , A P ^ , ~ , @ ~ V D N N & O R V V O , # ,	def better than that Chile earthquake. Ready 4 Pulag?RT “@heyitsrjsmith: Climbed a glacier yesterday and I still can't believe it. #travel”
@chiocolate_q when you look at me like that my darling ..	@ R O V P O P P D N ,	@chiocolate_q when you look at me like that my darling..
Thanks @Vizoftheday for selecting M 8.2 Earthquake , Iquiqe , #ChileEarthquake as viz of the day today	N @ P V ^ $ N , ^ , ^ P N P D N N	Thanks @Vizoftheday for selecting M 8.2 Earthquake, Iquiqe, #ChileEarthquake as viz of the day today
RT @ShastaCNN : Our latest from Iquique : After #ChileEarthquake weary residents wait out after shocks in tent city http://t.co/VMQwD97PPV #c …	~ @ ~ D A P ^ , P ^ A N V T P V P N N U # ,	RT @ShastaCNN: Our latest from Iquique: After #ChileEarthquake weary residents wait out after shocks in tent city http://t.co/VMQwD97PPV #c…
@MILKTYSON Thank you so much i'm chilean ♥	@ V O R A L ^ E	@MILKTYSON Thank you so much i'm chilean♥
A new 7.8 -magnitude earthquake strikes Northern Chile following an 8.2 -magniitude jolt in the same region . http://t.co/23zCRSVRUG	D A $ N N V ^ ^ V D $ N N P D A N , U	A new 7.8-magnitude earthquake strikes Northern Chile following an 8.2-magniitude jolt in the same region. http://t.co/23zCRSVRUG
RT @SantiagoTimes : 6 deaths officially reported now from last night's #earthquake in northern #Chile	~ @ ~ $ N R V R P A N N P A #	RT @SantiagoTimes: 6 deaths officially reported now from last night's #earthquake in northern #Chile
Stay safe folks at Chile ... #PrayForChile	V A N P ^ , #	Stay safe folks at Chile...  #PrayForChile
RT @rickeyb_ : Moment of silent for Chile . #PrayForChile	~ @ ~ N P A P ^ , #	RT @rickeyb_: Moment of silent for Chile. #PrayForChile
Chile President Michelle Bachelet evacuated from Arica coastline after 7.8 magnitude earthquake , tsunami alert http://t.co/3RzloWXBlb	^ ^ ^ ^ V P ^ N P $ N N , N N U	Chile President Michelle Bachelet evacuated from Arica coastline after 7.8 magnitude earthquake, tsunami alert  http://t.co/3RzloWXBlb
#prayforChile #prayforIndonesia save us God .. save Ternate and Malang pls	# # V O ^ , V ^ & ^ V	#prayforChile #prayforIndonesia save us God.. save Ternate and Malang pls
Magnitude 5.2 82km WSW of Iquique , Chile #earthquake @matthunter123 @matthunter123 @matthunter123 @matthunter123 http://t.co/E8vN3IdG6V	N $ $ N P ^ , ^ ^ @ @ @ @ U	Magnitude 5.2 82km WSW of Iquique, Chile #earthquake @matthunter123  @matthunter123 @matthunter123 @matthunter123  http://t.co/E8vN3IdG6V
RT @_krystalserrano : #PrayForChile ❤ 💙 glad to know that my family over there is doing well .	~ @ ~ # E E A P V P D N P X V V R ,	RT @_krystalserrano: #PrayForChile ❤💙 glad to know that my family over there is doing well.
Chile hit by 8.2 earthquake , tsunami 5 people killed & 300 female inmates escape -- look out guys .	^ V P $ N , N $ N V & $ A N V , V P N ,	Chile hit by 8.2 earthquake, tsunami 5 people killed &amp; 300 female inmates escape--look out guys.
RT @cecemcghee : Massive #earthquake in #Chile spurs #tsunami . http://t.co/4WOfbHyCa7 #cecemcghee	~ @ ~ A N P ^ ^ N , U #	RT @cecemcghee: Massive #earthquake in #Chile spurs #tsunami. http://t.co/4WOfbHyCa7 #cecemcghee
( #FlakoprettyX7 ) Chile assesses damage after massive quake , tsunami : By Anthony Esposito and ... http://t.co/IklJIqAlQa ( #FlakoprettyX7 )	, # , ^ V N P A N , N , P ^ ^ & , U , # ,	(#FlakoprettyX7) Chile assesses damage after massive quake, tsunami: By Anthony Esposito and ... http://t.co/IklJIqAlQa (#FlakoprettyX7)
First time making Caldo . Let's check it out !! Food porn yum #caldo #corn #squash #papas #meat #chile … http://t.co/KuMuqP94kJ	A N V ^ , L V O T , N N ! # # # # # # , U	First time making Caldo. Let's check it out!! Food porn yum  #caldo #corn #squash #papas #meat #chile… http://t.co/KuMuqP94kJ
take one sec to tweet #PrayForChile and pray for those people please .	V $ N P V ^ & V P D N V ,	take one sec to tweet #PrayForChile and pray for those people please.
@HlnztheOneNOnly yes I know , now is like 2 weeks left :'(	@ ! O V , R V P $ N V E	@HlnztheOneNOnly yes I know, now is like 2 weeks left :'(
Prayers going out to the people of Chile this am . 8.1 magnitude earthquake struck . tsunami evacuations in place .	N V T P D N P ^ O V , $ N N V , N N P N ,	Prayers going out to the people of Chile this am. 8.1 magnitude earthquake struck. tsunami evacuations in place.
" @ohgali : so we might die bc there was a 8.3 earthquake in chile & we're alined & there might be a tsunami & after shocks 😱 " bff stfu ._.	, @ ~ P O V V P X V D $ N P ^ & L A & R V V D N & P N E , N G E	"@ohgali: so we might die bc there was a 8.3 earthquake in chile &amp; we're alined &amp; there might be a tsunami &amp; after shocks 😱" bff stfu ._.
M 5.5 - 66km SSW of Iquique , Chile 2014-04-03 05:51:44 UTC ( via @usgs ) http://t.co/9l4tmSOX0u	^ $ , $ N P ^ , ^ $ $ N , P @ , U	M5.5  - 66km SSW of Iquique, Chile 2014-04-03 05:51:44 UTC (via @usgs) http://t.co/9l4tmSOX0u
Prayers out to the ppl affected by that Chile earthquake 🙏	N P P D N V P D ^ N E	Prayers out to the ppl affected by that Chile earthquake 🙏
HUH !!!! CHILE ?? What happen with Chile ??? #PrayForChile :(	! , ^ , O V P ^ , # E	HUH!!!! CHILE?? What happen with Chile??? #PrayForChile :(
( Vinculaciones ) 6 Killed in Earthquake off Northern Chile http://t.co/KFYUiVfTn8 Unete @_Vinculaciones	, ^ , $ V P N P ^ ^ U ^ @	( Vinculaciones ) 6 Killed in Earthquake off Northern Chile http://t.co/KFYUiVfTn8 Unete@_Vinculaciones
RT @LETICIACNN : @CNN death toll from a 8.2 -magnitude earthquake that struck off northern #ChileEarthquake rose to at least 6 Wednesday #Chi …	~ @ ~ @ N N P D $ N N P V T A ^ ^ P P A $ ^ # ,	RT @LETICIACNN: @CNN death toll from a 8.2-magnitude earthquake that struck off northern #ChileEarthquake rose to at least 6 Wednesday #Chi…
BREAKING : ANOTHER MAJOR EARTHQUAKE IN #CHILE 7.2 #Tsunami Warning Issued http://t.co/RMaibVVZbQ	N , D A N P ^ $ N V V U	BREAKING: ANOTHER MAJOR EARTHQUAKE IN #CHILE 7.2  #Tsunami Warning Issued http://t.co/RMaibVVZbQ
RT [ http://t.co/vieJIxVMOE ] Tsunami reaches 40 cms Pacific coast of Japan following earthquake in Chile	~ , U , N V $ N ^ N P ^ V N P ^	RT [http://t.co/vieJIxVMOE] Tsunami reaches 40 cms Pacific coast of Japan following earthquake in Chile
#April2IsAHappyDay but not for Chile #PrayForChile #FuerzaChile #TerremotoEnChile	# & R P ^ # # #	#April2IsAHappyDay but not for Chile #PrayForChile #FuerzaChile #TerremotoEnChile
RT @Kidrauhl1DJose : #PrayForChile Desde Nicaragua #FuerzaChile Nicaragua le pide a Dios por ustedes . Stay Strong x	~ @ ~ # ^ ^ # ^ ^ ^ D ^ G G , V A G	RT @Kidrauhl1DJose: #PrayForChile Desde Nicaragua #FuerzaChile Nicaragua le pide a Dios por ustedes. Stay Strong x
RT [ http://t.co/3ktR59uIZ0 ] Are you in #Chile ? Tell us how the earthquake was experienced in your community with tag #teleSURConChile	~ , U , V O P ^ , V O R D N V V P D N P N #	RT [http://t.co/3ktR59uIZ0] Are you in #Chile? Tell us how the earthquake was experienced in your community with tag #teleSURConChile
USGS : M 5.4 - 17km WNW of Hacienda La Calera , Chile : DYFI ? - VTime2014-04-05 02:22:38 UTC2 ... http://t.co/n21W0ypGsx #earthquake #tremor	^ , ^ $ , $ N P ^ ^ ^ , ^ , ^ , G $ $ G ~ U ^ N	USGS: M 5.4 - 17km WNW of Hacienda La Calera, Chile: DYFI? - VTime2014-04-05 02:22:38 UTC2... http://t.co/n21W0ypGsx #earthquake #tremor
Victoria AUS Geelong » http://t.co/b47rEL966t 111 Hawaii expecting hazardous waves after Chile earthquake Chile earthquake mahomiebeat #ap …	^ ^ ^ G U $ ^ V A N P ^ N ^ N G # ,	Victoria AUS Geelong » http://t.co/b47rEL966t 111 Hawaii expecting hazardous waves after Chile earthquake Chile earthquake mahomiebeat  #ap…
Chile » Some of damage reported throughout country caused by the #Earthquake off the #Chile coast .	^ G D P N V P N V P D ^ P D ^ N ,	Chile » Some of damage reported throughout country caused by the #Earthquake off the #Chile coast.
RT @leanielsen : I hope everyone in Chile stays safe and are okay . Surrounding countries should watch out for the Tsunami alert . #PrayForChi …	~ @ ~ O V N P ^ V A & V A , V N V V T P D N N , # ,	RT @leanielsen: I hope everyone in Chile stays safe and are okay. Surrounding countries should watch out for the Tsunami alert. #PrayForChi…
RT @NWSBayArea : Here is a graphic showing tsunami energy generated from yesterdays 8.2 Chile earthquake http://t.co/csQmfNhK5m	~ @ ~ R V D A V N N V P S $ ^ N U	RT @NWSBayArea: Here is a graphic showing tsunami energy generated from yesterdays 8.2 Chile earthquake http://t.co/csQmfNhK5m
RT @_B_Ryan : Expect 8.2 Chile earthquake to set off tremors around fracking injection wells . http://t.co/XZWfm3rq3j #cdnpoli #evilendbridge	~ @ ~ V $ ^ N P V T N P A N N , U # #	RT @_B_Ryan: Expect 8.2 Chile earthquake to set off tremors around fracking injection wells. http://t.co/XZWfm3rq3j #cdnpoli #evilendbridge
8.2 earthquake hits off northern coast of #Chile . 9+ aftershocks hit + Tsunami warning in effect .. http://t.co/gfCugDARAo	$ N V T A N P ^ , $ N V & N N P N , U	8.2 earthquake hits off northern coast of #Chile.  9+ aftershocks hit + Tsunami warning in effect.. http://t.co/gfCugDARAo
Thoughts with everyone in Chile affected by the earthquake x #PrayForChile	N P N P ^ V P D N G #	Thoughts with everyone in Chile affected by the earthquake x #PrayForChile
RT @mouselink : Seismologists worry that 8.2 #Chile #earthquake could just be a foreshock - http://t.co/h7lTyhpebK	~ @ ~ ^ V D $ # # V R V D N , U	RT @mouselink: Seismologists worry that 8.2 #Chile #earthquake could just be a foreshock - http://t.co/h7lTyhpebK
RT @STForeignDesk : UPDATE : Chile’s navy says a tsunami has already hit some areas in north of country following a massive earthquake offsho …	~ @ ~ N , Z N V D N V R V D N P N P N V D A N N ,	RT @STForeignDesk: UPDATE: Chile’s navy says a tsunami has already hit some areas in north of country following a massive earthquake offsho…
@josh_mcdowell We have a red alert because of a tsunami and an earthquake that had place in Chile this week . Pray for us , please .	@ O V D A N P P D N & D N P V N P ^ D N , V P O , V ,	@josh_mcdowell We have a red alert because of a tsunami and an earthquake that had place in Chile this week. Pray for us, please.
Deadly earthquake strikes Chile http://t.co/4huvH2M79g via @msnnz	A N V ^ U P @	Deadly earthquake strikes Chile http://t.co/4huvH2M79g via @msnnz
Pray For Chile #PrayForChile #EarthquakeChile #earthquake http://t.co/4kIA5Txlza	V P ^ # # # U	Pray For Chile  #PrayForChile #EarthquakeChile #earthquake http://t.co/4kIA5Txlza
@timesofindia : Massive 8.0 quake off Chile sparks tsunami alert for Pacific coast of South ... #Tweets #coast http://t.co/GtjwFeFfLA	@ ~ A $ N P ^ ^ N N P ^ N P ^ , # # U	@timesofindia : Massive 8.0 quake off Chile sparks tsunami alert for Pacific coast of South... #Tweets #coast http://t.co/GtjwFeFfLA
RT @jmrimperial : RT @UNOCHA_ROP #Chile #earthquake : Maximum wave height forecasts for #Pacific . http://t.co/m5zKtTh0G9	~ @ ~ ~ @ # # , ^ N N N P ^ , U	RT @jmrimperial: RT @UNOCHA_ROP  #Chile #earthquake: Maximum wave height forecasts for #Pacific. http://t.co/m5zKtTh0G9
RT @RT_com : #Chile quake aftermath VIDEO : Buildings cracked , cars smashed , boats washed up http://t.co/1O841SOJ1a #EarthquakeChile	~ @ ~ # N N N , N V , N V , N V T U #	RT @RT_com: #Chile quake aftermath VIDEO: Buildings cracked, cars smashed, boats washed up http://t.co/1O841SOJ1a #EarthquakeChile
